,Name,locus_tag,headon,gene_lookup
699,pcrB,BSU06600,0,689
700,pcrA,BSU06610,0,690
701,ligA,BSU06620,0,691
702,yerH,BSU06630,0,692
703,yerI,BSU06640,0,693
704,sapB,BSU06650,1,694
705,opuE,BSU06660,1,695
706,gatC,BSU06670,0,696
707,gatA,BSU06680,0,697
708,gatB,BSU06690,0,698
709,yerO,BSU06700,1,699
710,swrC,BSU06710,0,700
711,dagK,BSU06720,0,701
712,yefA,BSU06730,0,702
713,yefB,BSU06740,1,703
714,yefC,BSU06750,0,704
715,yeeA,BSU06760,0,705
716,yeeB,BSU06770,0,706
717,yeeC,BSU06780,0,707
718,yeeD,BSU06790,1,708
719,yezA,BSU06800,1,709
720,yezG,BSU06811,1,710
721,yeeF,BSU06812,1,711
722,yeeG,BSU06820,0,712
723,rapH,BSU06830,0,713
724,phrH,BSU06839,0,714
725,yeeI,BSU06840,0,715
726,yeeK,BSU06850,0,716
727,yezE,BSU06860,0,717
728,yesE,BSU06870,0,718
729,yesF,BSU06880,0,719
730,cotJA,BSU06890,0,720
731,cotJB,BSU06900,0,721
732,cotJC,BSU06910,0,722
733,yesJ,BSU06920,0,723
734,yesK,BSU06930,0,724
735,yesL,BSU06940,0,725
736,yesM,BSU06950,0,726
737,yesN,BSU06960,0,727
738,yesO,BSU06970,0,728
739,yesP,BSU06980,0,729
740,yesQ,BSU06990,0,730
741,yesR,BSU07000,0,731
742,yesS,BSU07010,0,732
743,rhgT,BSU07020,0,733
744,yesU,BSU07030,0,734
745,yesV,BSU07040,0,735
746,yesW,BSU07050,0,736
747,yesX,BSU07060,0,737
748,yesY,BSU07070,0,738
749,yesZ,BSU07080,0,739
750,yetA,BSU07090,0,740
751,lplA,BSU07100,0,741
752,lplB,BSU07110,0,742
753,lplC,BSU07120,0,743
754,lplD,BSU07130,0,744
755,yetF,BSU07140,0,745
756,yetG,BSU07150,1,746
757,yetH,BSU07160,1,747
758,yetI,BSU07170,0,748
759,yetI,BSU07180,0,749
760,yezD,BSU07190,0,750
761,yetJ,BSU07200,0,751
762,yetK,BSU07210,0,752
763,yetL,BSU07220,1,753
764,yetM,BSU07230,0,754
765,yetN,BSU07240,1,755
766,yetO,BSU07250,0,756
767,ltaSA,BSU07260,0,757
768,yfnH,BSU07270,0,758
769,yfnG,BSU07280,0,759
770,yfnF,BSU07290,0,760
771,yfnE,BSU07300,0,761
772,yfnD,BSU07310,0,762
773,yfnC,BSU07320,1,763
774,yfnB,BSU07330,1,764
775,yfnA,BSU07340,1,765
776,yfmT,BSU07350,0,766
777,yfmS,BSU07360,0,767
778,yfmR,BSU07370,0,768
779,yfmQ,BSU07380,0,769
780,yfmP,BSU07390,0,770
781,yfmO,BSU07400,0,771
782,yfmN,BSU07410,0,772
783,yfmM,BSU07420,1,773
784,yfmL,BSU07430,0,774
785,yfmK,BSU07440,0,775
786,yfmJ,BSU07450,1,776
787,yfmI,BSU07460,1,777
788,yfmG,BSU07480,0,778
789,yfmF,BSU07490,1,779
790,yfmE,BSU07500,1,780
791,yfmD,BSU07510,1,781
792,yfmC,BSU07520,1,782
793,yfmB,BSU07530,1,783
794,yfmA,BSU07540,0,784
795,yflT,BSU07550,0,785
796,pel,BSU07560,0,786
797,yflS,BSU07570,0,787
798,citS,BSU07580,0,788
799,citT,BSU07590,0,789
800,yflP,BSU07600,0,790
801,citM,BSU07610,0,791
802,yflN,BSU07620,0,792
803,nosA,BSU07630,0,793
804,yflL,BSU07640,1,794
805,yflK,BSU07650,0,795
806,yflJ,BSU07660,1,796
807,yflI,BSU07670,1,797
808,yflH,BSU07680,1,798
809,mapB,BSU07690,1,799
810,nagP,BSU07700,0,800
811,yflE,BSU07710,1,801
812,yflD,BSU07720,0,802
813,yflB,BSU07735,0,803
814,yflA,BSU07750,0,804
815,yfkT,BSU07760,1,805
816,yfkS,BSU07770,1,806
817,yfkR,BSU07780,1,807
818,yfkQ,BSU07790,1,808
819,treP,BSU07800,0,809
820,treA,BSU07810,0,810
821,treR,BSU07820,0,811
822,yfkO,BSU07830,0,812
823,yfkN,BSU07840,1,813
824,yfkM,BSU07850,0,814
825,yfkL,BSU07860,1,815
826,yfkK,BSU07870,1,816
827,yfkJ,BSU07880,0,817
828,yfkI,BSU07890,0,818
829,yfkH,BSU07900,0,819
830,yfkF,BSU07910,1,820
831,yfkE,BSU07920,0,821
832,yfkD,BSU07930,0,822
833,yfkC,BSU07940,1,823
834,yfkA,BSU07955,1,824
835,yfjT,BSU07970,0,825
836,pdaA,BSU07980,0,826
837,yfjR,BSU07990,1,827
838,yfjQ,BSU08000,1,828
839,yfjP,BSU08010,0,829
